,BIO1,BIO2,BIO3,BIO5,BIO6,BIO8,BIO9,BIO10,BIO11,BIO13,BIO14,BIO15,BIO17,BIO19,tmean,tmax,tmin,humid
BIO1,1.0,-0.7401816089630688,-0.7514942539167317,0.9616564485985192,0.7603462144300546,0.5764398767205996,0.29022572751142134,0.8916366852499813,0.6054440967104026,0.39535867753438764,-0.034695172928214876,0.20848829561359242,0.585194799017267,0.47350752273587077,0.9994640384976955,0.927090287393283,0.9758848236914207,0.7234378125221583
BIO2,-0.7401816089630688,1.0,0.8562875814178753,-0.82983160159138,-0.816417868165487,-0.34451237225327186,-0.5889425759594217,-0.4995803865485793,-0.91530435178863,-0.34173100285565294,0.09872175421372993,-0.07400921370452569,-0.5956502917261081,-0.4788877017555571,-0.7226489389971016,-0.45262577421197964,-0.8586453335569891,-0.8743257634243675
BIO3,-0.7514942539167317,0.8562875814178753,1.0,-0.8423532252563413,-0.4962414575256122,-0.5327302295051376,-0.3196898926672541,-0.5670793804579628,-0.7243644089025435,-0.3953536505022635,0.29166422793621827,-0.06949030720416795,-0.46378423181136474,-0.37999971491462464,-0.7396874324774682,-0.592438844959214,-0.8548561272349837,-0.9194378823382003
BIO5,0.9616564485985192,-0.82983160159138,-0.8423532252563413,1.0,0.7873443231999492,0.6763331121848889,0.2811430427060416,0.8872161029957398,0.6307418032650828,0.3716271396334463,-0.2565506048671655,0.2354701104250945,0.4718027476439035,0.39543964092260125,0.9585306774139757,0.8278917277605476,0.9751003037692828,0.74555039745951
BIO6,0.7603462144300546,-0.816417868165487,-0.4962414575256122,0.7873443231999492,1.0,0.33815890117230835,0.5243778874965641,0.6473617635304354,0.7071845272234341,0.23721691223547917,0.009598779232947073,0.20838464447936708,0.5212470537589283,0.42710559627400696,0.7518833140478526,0.510964394538271,0.782370319475465,0.5268579921357242
BIO8,0.5764398767205996,-0.34451237225327186,-0.5327302295051376,0.6763331121848889,0.33815890117230835,1.0,0.05242384656288225,0.8159183000232334,0.09866736978266938,0.5436512383831346,-0.7607185443335915,0.701873478721297,0.06990989598506463,0.26829140289142633,0.5772398551045536,0.5421854853706857,0.5251202527539585,0.20180411334749002
BIO9,0.29022572751142134,-0.5889425759594217,-0.3196898926672541,0.2811430427060416,0.5243778874965641,0.05242384656288225,1.0,0.05882521577407639,0.8109759441952932,0.7272051631198825,0.2455794074300315,0.46431907416493234,0.8498664157562485,0.8920710853061253,0.26117565692592476,0.020831074572118694,0.3575893033068017,0.4498546243287378
BIO10,0.8916366852499813,-0.4995803865485793,-0.5670793804579628,0.8872161029957398,0.6473617635304354,0.8159183000232334,0.05882521577407639,1.0,0.26438657788856346,0.3717187174860465,-0.3491730799811129,0.43332683970269714,0.28435555186560396,0.29894485355510186,0.8988023129174023,0.8800688571086849,0.808953165759886,0.3903943028451035
BIO11,0.6054440967104026,-0.91530435178863,-0.7243644089025435,0.6307418032650828,0.7071845272234341,0.09866736978266938,0.8109759441952932,0.26438657788856346,1.0,0.47914244650576454,0.20354416203074036,0.08415017523986332,0.8179514751857996,0.6945091745720061,0.5811987361437218,0.32021581777498737,0.7271218324009505,0.8604199300974329
BIO13,0.39535867753438764,-0.34173100285565294,-0.3953536505022635,0.3716271396334463,0.23721691223547917,0.5436512383831346,0.7272051631198825,0.3717187174860465,0.47914244650576454,1.0,-0.12371099191117495,0.8219383996886734,0.7186930646673149,0.9105355923765419,0.37551105577482313,0.30063576483851273,0.3737664885346729,0.32304304900367303
BIO14,-0.034695172928214876,0.09872175421372993,0.29166422793621827,-0.2565506048671655,0.009598779232947073,-0.7607185443335915,0.2455794074300315,-0.3491730799811129,0.20354416203074036,-0.12371099191117495,1.0,-0.4334072175368162,0.4684844773280854,0.23298606358235444,-0.03638751979792438,0.02603138493134973,-0.055427253407983025,0.09572125206410675
BIO15,0.20848829561359242,-0.07400921370452569,-0.06949030720416795,0.2354701104250945,0.20838464447936708,0.701873478721297,0.46431907416493234,0.43332683970269714,0.08415017523986332,0.8219383996886734,-0.4334072175368162,1.0,0.30601873833921983,0.6177390466785969,0.19798759466787527,0.1416260769657379,0.12706894500840887,-0.14124485032882034
BIO17,0.585194799017267,-0.5956502917261081,-0.46378423181136474,0.4718027476439035,0.5212470537589283,0.06990989598506463,0.8498664157562485,0.28435555186560396,0.8179514751857996,0.7186930646673149,0.4684844773280854,0.30601873833921983,1.0,0.9295364372698017,0.5648626717480155,0.4456510263313597,0.6037528704566636,0.6505690053958668
BIO19,0.47350752273587077,-0.4788877017555571,-0.37999971491462464,0.39543964092260125,0.42710559627400696,0.26829140289142633,0.8920710853061253,0.29894485355510186,0.6945091745720061,0.9105355923765419,0.23298606358235444,0.6177390466785969,0.9295364372698017,1.0,0.4509304444811658,0.33168653655260283,0.47003500448846336,0.4625795160960356
tmean,0.9994640384976955,-0.7226489389971016,-0.7396874324774682,0.9585306774139757,0.7518833140478526,0.5772398551045536,0.26117565692592476,0.8988023129174023,0.5811987361437218,0.37551105577482313,-0.03638751979792438,0.19798759466787527,0.5648626717480155,0.4509304444811658,1.0,0.9361799545095779,0.970772692172524,0.7089393171880883
tmax,0.927090287393283,-0.45262577421197964,-0.592438844959214,0.8278917277605476,0.510964394538271,0.5421854853706857,0.020831074572118694,0.8800688571086849,0.32021581777498737,0.30063576483851273,0.02603138493134973,0.1416260769657379,0.4456510263313597,0.33168653655260283,0.9361799545095779,1.0,0.8455672073750492,0.5564254116922915
tmin,0.9758848236914207,-0.8586453335569891,-0.8548561272349837,0.9751003037692828,0.782370319475465,0.5251202527539585,0.3575893033068017,0.808953165759886,0.7271218324009505,0.3737664885346729,-0.055427253407983025,0.12706894500840887,0.6037528704566636,0.47003500448846336,0.970772692172524,0.8455672073750492,1.0,0.8405874732576993
humid,0.7234378125221583,-0.8743257634243675,-0.9194378823382003,0.74555039745951,0.5268579921357242,0.20180411334749002,0.4498546243287378,0.3903943028451035,0.8604199300974329,0.32304304900367303,0.09572125206410675,-0.14124485032882034,0.6505690053958668,0.4625795160960356,0.7089393171880883,0.5564254116922915,0.8405874732576993,1.0
