region,date,year,month,tmax,tmin,tmean,prcp,rad,humid
거창,2019-01-01,2019,1,1.5,-9.2,-3.6,0.0,8.0,46.4
거창,2019-01-02,2019,1,3.7,-9.6,-3.4,0.0,12.0,46.3
거창,2019-01-03,2019,1,5.6,-10.3,-3.7,0.0,12.1,46.3
거창,2019-01-04,2019,1,7.4,-11.0,-2.4,0.0,7.9,46.3
거창,2019-01-05,2019,1,7.0,-9.2,0.7,0.0,11.3,46.3
거창,2019-01-06,2019,1,7.6,-8.9,-2.9,0.0,11.7,46.3
거창,2019-01-07,2019,1,5.1,-9.7,-3.0,0.0,10.9,46.3
거창,2019-01-08,2019,1,4.5,-4.5,-0.9,0.0,11.2,46.3
거창,2019-01-09,2019,1,3.5,-11.1,-3.9,0.0,10.1,46.3
거창,2019-01-10,2019,1,4.9,-5.9,-0.3,0.0,11.4,46.4
거창,2019-01-11,2019,1,8.3,-6.3,0.9,0.0,11.1,46.4
거창,2019-01-12,2019,1,7.3,-1.9,1.9,5.0,8.4,47.9
거창,2019-01-13,2019,1,9.8,-5.5,0.0,0.0,11.9,46.6
거창,2019-01-14,2019,1,9.3,-8.4,-1.1,0.0,11.8,46.4
거창,2019-01-15,2019,1,6.3,-5.2,0.3,0.0,9.5,46.5
거창,2019-01-16,2019,1,1.8,-9.3,-3.6,0.0,13.0,46.3
거창,2019-01-17,2019,1,3.6,-6.5,-0.8,0.0,12.0,46.4
거창,2019-01-18,2019,1,9.0,-8.6,-0.9,0.0,12.2,46.4
거창,2019-01-19,2019,1,9.9,-5.1,2.0,0.5,9.1,46.4
거창,2019-01-20,2019,1,6.0,-3.2,1.5,0.5,12.9,46.3
거창,2019-01-21,2019,1,7.1,-7.7,-0.8,0.0,13.6,46.3
거창,2019-01-22,2019,1,10.0,-6.7,1.0,0.0,13.2,46.4
거창,2019-01-23,2019,1,9.5,-6.2,1.2,0.0,12.0,46.4
거창,2019-01-24,2019,1,10.3,-8.6,0.0,0.0,14.0,46.3
거창,2019-01-25,2019,1,5.4,-7.3,-2.0,0.0,10.9,46.4
거창,2019-01-26,2019,1,2.3,-8.0,-3.2,0.0,14.5,46.3
거창,2019-01-27,2019,1,9.4,-12.7,-3.6,0.0,14.6,46.3
거창,2019-01-28,2019,1,6.7,-5.3,1.6,0.0,12.1,46.4
거창,2019-01-29,2019,1,9.0,-11.0,-2.4,0.0,14.5,46.3
거창,2019-01-30,2019,1,12.7,-6.4,2.1,0.0,11.8,46.3
