region,date,year,month,tmax,tmin,tmean,prcp,rad,humid
군위,2019-01-01,2019,1,1.0,-11.1,-4.3,0.0,7.3,64.8
군위,2019-01-02,2019,1,3.0,-11.8,-4.9,0.0,11.2,59.4
군위,2019-01-03,2019,1,4.8,-13.1,-5.8,0.0,11.7,59.3
군위,2019-01-04,2019,1,5.9,-13.1,-4.2,0.0,8.5,60.1
군위,2019-01-05,2019,1,5.1,-10.7,-2.5,0.0,9.4,60.9
군위,2019-01-06,2019,1,5.1,-11.6,-5.6,0.0,10.0,59.0
군위,2019-01-07,2019,1,4.8,-12.8,-4.1,0.0,10.7,62.9
군위,2019-01-08,2019,1,3.3,-7.0,-1.7,0.0,10.7,51.0
군위,2019-01-09,2019,1,1.5,-12.6,-5.5,0.0,9.4,47.6
군위,2019-01-10,2019,1,5.1,-8.6,-2.0,0.0,9.9,58.7
군위,2019-01-11,2019,1,7.0,-8.7,-1.9,0.0,9.9,73.7
군위,2019-01-12,2019,1,4.4,-0.7,0.8,3.5,3.0,94.7
군위,2019-01-13,2019,1,5.4,-4.5,-0.5,0.0,7.0,90.9
군위,2019-01-14,2019,1,2.2,-4.1,-2.2,0.0,4.4,95.2
군위,2019-01-15,2019,1,5.7,-5.1,0.2,0.0,8.4,65.8
군위,2019-01-16,2019,1,1.0,-9.7,-4.3,0.0,11.1,49.9
군위,2019-01-17,2019,1,3.9,-7.0,-0.6,0.0,7.1,60.8
군위,2019-01-18,2019,1,7.6,-10.1,-2.5,0.0,11.9,68.8
군위,2019-01-19,2019,1,8.2,-5.6,0.4,0.0,8.4,67.7
군위,2019-01-20,2019,1,4.8,-4.7,1.9,0.0,12.3,43.4
군위,2019-01-21,2019,1,6.3,-8.7,-0.6,0.0,12.0,49.8
군위,2019-01-22,2019,1,9.8,-7.2,0.9,0.0,12.5,64.6
군위,2019-01-23,2019,1,9.1,-6.9,0.6,0.0,10.8,59.4
군위,2019-01-24,2019,1,8.2,-10.2,-2.4,0.0,13.0,55.3
군위,2019-01-25,2019,1,4.9,-9.8,-2.8,0.0,11.2,51.8
군위,2019-01-26,2019,1,3.6,-9.8,-3.6,0.0,13.6,41.6
군위,2019-01-27,2019,1,7.0,-12.9,-3.9,0.0,13.8,55.2
군위,2019-01-28,2019,1,6.6,-4.8,1.6,0.0,12.4,49.2
군위,2019-01-29,2019,1,7.3,-11.2,-3.2,0.0,13.8,59.5
군위,2019-01-30,2019,1,10.4,-7.5,0.9,0.0,11.4,50.8
