region,year,cultivar,months_used,tmean_mean,tmean_std,tmax_max,tmin_min,prcp_sum,prcp_mean,rad_mean,humid_mean,humid_m05,humid_m06,humid_m07,humid_m08,humid_m09,humid_m10,prcp_m05,prcp_m06,prcp_m07,prcp_m08,prcp_m09,prcp_m10,rad_m05,rad_m06,rad_m07,rad_m08,rad_m09,rad_m10,tmax_m05,tmax_m06,tmax_m07,tmax_m08,tmax_m09,tmax_m10,tmean_m05,tmean_m06,tmean_m07,tmean_m08,tmean_m09,tmean_m10,tmin_m05,tmin_m06,tmin_m07,tmin_m08,tmin_m09,tmin_m10
거창,2019,Fuji,5-10,19.60495450785773,3.597068585996028,30.19677419354839,7.800000000000001,870.5,145.08333333333334,16.596564653984007,78.54256823821339,59.97741935483871,76.61,83.74838709677418,83.30967741935484,85.96153846153847,81.64838709677419,77.0,126.0,190.5,116.0,211.0,150.0,22.677419354838708,19.953333333333333,15.151612903225805,16.98709677419355,12.061538461538463,12.748387096774193,25.309677419354838,26.85,28.26774193548387,30.19677419354839,25.496153846153845,20.98709677419355,16.787096774193547,20.209999999999997,23.0258064516129,24.138709677419353,19.942307692307693,13.525806451612903,7.887096774193548,14.383333333333333,18.76774193548387,19.56451612903226,15.603846153846153,7.800000000000001
거창,2020,Fuji,5-10,19.279175627240143,4.287542595017765,30.861290322580647,5.554838709677419,1381.5,230.25,15.420501792114694,79.85983870967742,71.48709677419355,77.00666666666666,89.18387096774192,86.60645161290323,84.42333333333333,70.45161290322581,73.5,148.0,526.0,492.5,131.5,10.0,19.84193548387097,19.076666666666664,11.635483870967741,14.567741935483872,12.636666666666667,14.764516129032257,23.712903225806453,28.63,25.55483870967742,30.861290322580647,24.28666666666667,20.20967741935484,16.758064516129032,21.80666666666667,21.503225806451614,25.47741935483871,18.12,12.009677419354839,10.193548387096774,15.856666666666666,18.4,21.948387096774194,13.593333333333334,5.554838709677419
거창,2021,Fuji,5-10,19.55152329749104,4.012596549465351,30.68064516129032,7.574193548387097,790.0,131.66666666666666,15.240752688172043,80.71354838709676,72.04516129032258,78.14,82.7258064516129,86.36129032258064,85.98,79.02903225806452,91.5,75.0,173.5,297.5,101.5,51.0,17.23225806451613,17.35666666666667,17.799999999999997,13.774193548387096,11.623333333333333,13.658064516129032,22.425806451612903,27.12,30.68064516129032,29.24516129032258,24.946666666666665,21.738709677419354,15.529032258064515,20.776666666666664,24.612903225806452,23.483870967741936,19.506666666666668,13.399999999999999,8.758064516129032,15.513333333333334,20.14516129032258,19.86774193548387,15.336666666666668,7.574193548387097
거창,2022,Fuji,5-10,19.94505376344086,4.3768443260284675,30.72258064516129,5.951612903225806,361.5,60.25,16.039014336917564,74.85340501792115,55.59032258064516,74.77,80.11612903225806,84.54838709677419,79.56333333333333,74.53225806451613,0.0,71.0,104.5,98.0,68.5,19.5,22.074193548387097,17.34,15.63225806451613,13.19032258064516,13.516666666666667,14.480645161290322,25.393548387096775,28.253333333333334,30.72258064516129,29.509677419354837,26.006666666666668,20.738709677419354,17.04516129032258,21.783333333333335,25.096774193548388,24.151612903225807,19.296666666666667,12.296774193548387,8.503225806451614,16.41,20.519354838709678,20.296774193548387,14.073333333333332,5.951612903225806
거창,2023,Fuji,5-10,20.298297491039428,4.509212096917312,31.461290322580645,6.129032258064516,1058.0,176.33333333333334,15.342598566308245,80.10752688172043,72.63548387096773,75.85666666666665,87.54516129032258,83.8258064516129,85.34333333333333,75.43870967741935,160.5,201.5,372.0,220.0,103.0,1.0,16.470967741935485,18.613333333333333,14.058064516129033,14.8,13.21,14.903225806451612,24.003225806451614,28.473333333333336,29.896774193548385,31.461290322580645,27.346666666666668,21.700000000000003,16.6,21.40666666666667,24.493548387096773,25.6,21.176666666666666,12.51290322580645,9.838709677419354,15.526666666666667,20.861290322580647,21.40967741935484,16.883333333333333,6.129032258064516
거창,2024,Fuji,5-10,21.257186379928317,4.463819963115463,33.55483870967742,8.846666666666666,618.0,103.0,15.248602150537636,78.94211469534049,67.81666666666666,72.01333333333334,84.99032258064516,80.89354838709677,84.00333333333333,83.93548387096774,58.5,88.0,275.5,32.5,113.5,50.0,20.2,17.873333333333335,13.574193548387097,16.206451612903226,12.966666666666667,10.670967741935485,25.456666666666667,28.73,30.283870967741937,33.55483870967742,30.03666666666667,21.1,16.73,21.39,25.387096774193548,26.45483870967742,23.416666666666668,14.16451612903226,8.846666666666666,14.843333333333334,21.822580645161292,21.81935483870968,19.023333333333333,8.887096774193548
군위,2019,Fuji,5-10,20.591344086021504,3.875044658022508,31.448387096774194,8.577419354838709,800.5,133.41666666666666,16.48326164874552,79.07198924731183,63.02903225806452,75.16000000000001,82.55483870967741,83.06129032258065,87.13000000000001,83.49677419354839,53.5,127.5,132.5,141.5,170.0,175.5,22.51290322580645,19.30666666666667,15.383870967741935,17.174193548387095,12.379999999999999,12.141935483870967,26.47741935483871,28.096666666666668,29.61935483870968,31.448387096774194,26.566666666666666,21.30322580645161,17.809677419354838,21.146666666666665,24.396774193548385,25.41290322580645,20.84333333333333,13.938709677419356,8.970967741935485,15.043333333333333,20.019354838709678,20.780645161290323,16.863333333333333,8.577419354838709
군위,2020,Fuji,5-10,20.17388888888889,4.695752848080298,31.98709677419355,5.151612903225806,1253.5,208.91666666666666,15.680734767025092,79.9813082437276,71.40322580645162,74.54666666666667,87.73548387096774,84.8225806451613,84.47666666666667,76.90322580645162,78.0,183.5,448.5,394.0,145.0,4.5,19.81935483870968,19.17,12.709677419354838,15.264516129032257,13.146666666666667,13.974193548387097,24.725806451612904,29.603333333333335,26.929032258064513,31.98709677419355,25.686666666666667,20.60967741935484,17.700000000000003,22.9,22.432258064516127,26.851612903225806,19.243333333333332,11.916129032258064,10.85483870967742,16.596666666666668,19.051612903225806,23.096774193548388,14.72,5.151612903225806
군위,2021,Fuji,5-10,20.31731182795699,4.3140825414397685,32.22258064516129,8.658064516129032,911.5,151.91666666666666,15.649480286738353,82.406541218638,74.54838709677419,78.26,82.02580645161291,87.58709677419354,86.65666666666667,85.36129032258064,141.0,83.5,207.5,227.5,192.0,60.0,17.458064516129035,18.226666666666667,19.774193548387096,14.129032258064516,12.276666666666667,12.03225806451613,22.816129032258065,28.113333333333333,32.22258064516129,29.725806451612904,26.153333333333332,21.480645161290322,16.15483870967742,21.83,25.793548387096774,24.309677419354838,20.290000000000003,13.525806451612903,9.535483870967743,16.52,20.91290322580645,20.9,16.193333333333335,8.658064516129032
군위,2022,Fuji,5-10,20.678906810035844,4.649051975767816,31.51290322580645,5.983870967741935,566.0,94.33333333333333,17.04514336917563,76.96456989247312,57.6741935483871,73.45333333333333,81.06774193548387,86.35483870967742,83.25666666666666,79.98064516129033,6.5,145.5,110.5,202.5,64.5,36.5,24.08709677419355,18.44,16.94193548387097,13.990322580645161,14.656666666666666,14.154838709677419,26.287096774193547,28.946666666666665,31.51290322580645,29.980645161290322,26.959999999999997,20.851612903225806,18.06451612903226,22.78666666666667,26.12258064516129,24.970967741935485,19.790000000000003,12.338709677419354,9.106451612903227,17.14,21.712903225806453,21.190322580645162,14.703333333333335,5.983870967741935
