region,year,cultivar,months_used,tmean_mean,tmean_std,tmax_max,tmin_min,prcp_sum,prcp_mean,rad_mean,humid_mean,humid_m05,humid_m06,humid_m07,humid_m08,prcp_m05,prcp_m06,prcp_m07,prcp_m08,rad_m05,rad_m06,rad_m07,rad_m08,tmax_m05,tmax_m06,tmax_m07,tmax_m08,tmean_m05,tmean_m06,tmean_m07,tmean_m08,tmin_m05,tmin_m06,tmin_m07,tmin_m08
거창,2019,Hongro,5-8,21.04040322580645,2.8426006633851384,30.19677419354839,7.887096774193548,509.5,127.375,18.69236559139785,75.91137096774193,59.97741935483871,76.61,83.74838709677418,83.30967741935484,77.0,126.0,190.5,116.0,22.677419354838708,19.953333333333333,15.151612903225805,16.98709677419355,25.309677419354838,26.85,28.26774193548387,30.19677419354839,16.787096774193547,20.209999999999997,23.0258064516129,24.138709677419353,7.887096774193548,14.383333333333333,18.76774193548387,19.56451612903226
거창,2020,Hongro,5-8,21.386344086021506,3.0962962164731076,30.861290322580647,10.193548387096774,1240.0,310.0,16.280456989247313,81.07102150537634,71.48709677419355,77.00666666666666,89.18387096774192,86.60645161290323,73.5,148.0,526.0,492.5,19.84193548387097,19.076666666666664,11.635483870967741,14.567741935483872,23.712903225806453,28.63,25.55483870967742,30.861290322580647,16.758064516129032,21.80666666666667,21.503225806451614,25.47741935483871,10.193548387096774,15.856666666666666,18.4,21.948387096774194
거창,2021,Hongro,5-8,21.100618279569893,3.5058363610476726,30.68064516129032,8.758064516129032,637.5,159.375,16.54077956989247,79.81806451612903,72.04516129032258,78.14,82.7258064516129,86.36129032258064,91.5,75.0,173.5,297.5,17.23225806451613,17.35666666666667,17.799999999999997,13.774193548387096,22.425806451612903,27.12,30.68064516129032,29.24516129032258,15.529032258064515,20.776666666666664,24.612903225806452,23.483870967741936,8.758064516129032,15.513333333333334,20.14516129032258,19.86774193548387
거창,2022,Hongro,5-8,22.019220430107527,3.11509798701354,30.72258064516129,8.503225806451614,273.5,68.375,17.059193548387096,73.75620967741935,55.59032258064516,74.77,80.11612903225806,84.54838709677419,0.0,71.0,104.5,98.0,22.074193548387097,17.34,15.63225806451613,13.19032258064516,25.393548387096775,28.253333333333334,30.72258064516129,29.509677419354837,17.04516129032258,21.783333333333335,25.096774193548388,24.151612903225807,8.503225806451614,16.41,20.519354838709678,20.296774193548387
거창,2023,Hongro,5-8,22.025053763440862,3.4888148861392443,31.461290322580645,9.838709677419354,954.0,238.5,15.985591397849463,79.96577956989248,72.63548387096773,75.85666666666665,87.54516129032258,83.8258064516129,160.5,201.5,372.0,220.0,16.470967741935485,18.613333333333333,14.058064516129033,14.8,24.003225806451614,28.473333333333336,29.896774193548385,31.461290322580645,16.6,21.40666666666667,24.493548387096773,25.6,9.838709677419354,15.526666666666667,20.861290322580647,21.40967741935484
거창,2024,Hongro,5-8,22.490483870967743,3.8242879983166382,33.55483870967742,8.846666666666666,454.5,113.625,16.963494623655915,76.42846774193548,67.81666666666666,72.01333333333334,84.99032258064516,80.89354838709677,58.5,88.0,275.5,32.5,20.2,17.873333333333335,13.574193548387097,16.206451612903226,25.456666666666667,28.73,30.283870967741937,33.55483870967742,16.73,21.39,25.387096774193548,26.45483870967742,8.846666666666666,14.843333333333334,21.822580645161292,21.81935483870968
군위,2019,Hongro,5-8,22.191505376344082,2.980466357575075,31.448387096774194,8.970967741935485,455.0,113.75,18.594408602150537,75.95129032258065,63.02903225806452,75.16000000000001,82.55483870967741,83.06129032258065,53.5,127.5,132.5,141.5,22.51290322580645,19.30666666666667,15.383870967741935,17.174193548387095,26.47741935483871,28.096666666666668,29.61935483870968,31.448387096774194,17.809677419354838,21.146666666666665,24.396774193548385,25.41290322580645,8.970967741935485,15.043333333333333,20.019354838709678,20.780645161290323
군위,2020,Hongro,5-8,22.470967741935482,3.24567991110149,31.98709677419355,10.85483870967742,1104.0,276.0,16.740887096774195,79.62698924731183,71.40322580645162,74.54666666666667,87.73548387096774,84.8225806451613,78.0,183.5,448.5,394.0,19.81935483870968,19.17,12.709677419354838,15.264516129032257,24.725806451612904,29.603333333333335,26.929032258064513,31.98709677419355,17.700000000000003,22.9,22.432258064516127,26.851612903225806,10.85483870967742,16.596666666666668,19.051612903225806,23.096774193548388
군위,2021,Hongro,5-8,22.02201612903226,3.6714605682499646,32.22258064516129,9.535483870967743,659.5,164.875,17.39698924731183,80.60532258064516,74.54838709677419,78.26,82.02580645161291,87.58709677419354,141.0,83.5,207.5,227.5,17.458064516129035,18.226666666666667,19.774193548387096,14.129032258064516,22.816129032258065,28.113333333333333,32.22258064516129,29.725806451612904,16.15483870967742,21.83,25.793548387096774,24.309677419354838,9.535483870967743,16.52,20.91290322580645,20.9
군위,2022,Hongro,5-8,22.986182795698927,3.083787128533728,31.51290322580645,9.106451612903227,465.0,116.25,18.36483870967742,74.63752688172043,57.6741935483871,73.45333333333333,81.06774193548387,86.35483870967742,6.5,145.5,110.5,202.5,24.08709677419355,18.44,16.94193548387097,13.990322580645161,26.287096774193547,28.946666666666665,31.51290322580645,29.980645161290322,18.06451612903226,22.78666666666667,26.12258064516129,24.970967741935485,9.106451612903227,17.14,21.712903225806453,21.190322580645162
