,과중,종경,횡경,L,a,b,경도,당도,산도,tmean_mean,tmax_max,tmin_min,prcp_sum,rad_mean,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
과중,1.0,0.877919442029872,0.9384753701253712,-0.13022785561120997,0.058580693523491996,-0.09695398196329624,-0.054632176506791086,0.12083234333280203,-0.0489319949842548,0.16544909757518764,-0.11013486107001699,0.4456101287383535,0.1052086694805628,-0.36994470324339157,0.23615439643537828,-0.35696459241382084,-0.41554868308179516,0.18669636952021718,-0.11013486107001709,0.01092245603262215,-0.10442371087420606,-0.015890252075407837,-0.18386731685101612,0.007928854229731053,-0.2712366630756048,0.06187467314299898,0.15233012770012366,0.06900385922871273,0.06447154006438237,0.1339912798866843,-0.13985198681940758,0.12094617476925215,-0.13576124537905182
종경,0.877919442029872,1.0,0.811506032485246,-0.1188559069328381,0.06978047423122799,-0.11659590821380449,-0.03417040478041122,0.05654836503656998,-0.10030525792843872,0.24321926192073837,0.019601832746117907,0.404584768639097,0.06715297931875701,-0.33743567234334704,0.3276963412739896,-0.4570059239060612,-0.5125404911501517,0.2335050733165505,0.01960183274611791,0.18956783262614166,-0.15983540510210412,0.08778004106384843,-0.16741113005462116,0.1596440001096221,-0.15479465790823563,0.07329710142150503,0.162357127735031,0.060860374087731914,0.02611181766073226,0.09000180591001684,-0.06306594632800296,0.09538405745004032,-0.09933839604564582
횡경,0.9384753701253712,0.811506032485246,1.0,-0.16541167569435564,0.10692279765339445,-0.1262660195726842,-0.04094905424698992,0.18318816750741834,-0.0965896674985023,0.1426356356943364,-0.09156770895613256,0.3695174692584253,0.10025229407985406,-0.3424136888220313,0.20135028404449132,-0.2804879621746943,-0.35273031753642564,0.17227215333078016,-0.09156770895613263,-0.04763132584174194,-0.033983616986979444,-0.018526085719447236,-0.17627100658417247,0.005683419462648887,-0.2311190914592861,0.07001489081320375,0.12625459043060897,0.08093071609297252,0.01594289045153093,0.11557467667609542,-0.10345117488893216,0.10044846015785978,-0.11217151015431172
L,-0.13022785561120997,-0.1188559069328381,-0.16541167569435564,1.0,-0.8240129796641779,0.8451588238012857,0.004370854674774427,-0.24541024587597515,0.2895840260442129,0.21890337864868678,0.12042571492364766,0.23953265929479373,0.2999685892315937,0.07809386111212592,0.18637176286402296,-0.2099045939576557,-0.23826327075411743,0.16817773863222546,0.12042571492364781,0.17754894808318902,-0.06235808094087635,0.24123882435858557,0.1940964316134815,0.22744177360660234,-0.000715990097625487,0.2555897028224893,0.3609918918382196,0.1252480504431874,0.3565469263627322,0.3026932060227487,0.1271599007185956,0.3330584751677423,0.23065043512719802
a,0.058580693523491996,0.06978047423122799,0.10692279765339445,-0.8240129796641779,1.0,-0.8695584584914143,0.03329966474529435,0.30953261794993076,-0.32230977654262566,-0.2584277278689548,-0.10731691597622474,-0.3935697129018336,-0.3564200682897748,0.1280026568991152,-0.24538273152548942,0.2796390196586962,0.29701731249331226,-0.13179900491232896,-0.10731691597622482,-0.23387708173878013,0.1260536797253627,-0.19274439061294082,-0.2718319892993317,-0.18650086611113229,0.02693396374324276,-0.3017625154072813,-0.41259011432873083,-0.15326955671181747,-0.44903961870663595,-0.4003087297186727,-0.04073273826313915,-0.4069461659404922,-0.2168598365220847
b,-0.09695398196329624,-0.11659590821380449,-0.1262660195726842,0.8451588238012857,-0.8695584584914143,1.0,-0.018346170552210318,-0.23933084424942497,0.3213576068278339,0.08056267258604792,0.007259519495412,0.27190210260972025,0.34525270719641177,-0.06544408934430058,0.11707625202651914,-0.2583590275390153,-0.2938164692006705,0.03631351519776325,0.007259519495412076,0.08886650660286557,-0.07657958497867107,0.1392642035033112,0.19061554653688714,0.06268844900287639,-0.01557412392944299,0.3277300426759862,0.386476412070015,0.1706919004817077,0.2981884586539568,0.36824590376746263,0.13761470589686495,0.36532513277870543,0.2303131905287157
경도,-0.054632176506791086,-0.03417040478041122,-0.04094905424698992,0.004370854674774427,0.03329966474529435,-0.018346170552210318,1.0,0.2072342855805186,-0.04109283490787324,0.05378407679005142,0.14363722008108828,-0.12292613831594222,-0.002565967326259202,0.1620199859917011,0.06771923412479842,0.1671047768541687,0.15020270381415848,-0.005753185790575145,0.1436372200810883,-0.008828906657053784,0.13114290248799934,0.033417585111970696,0.1482297244783081,0.11485286110968293,0.18618167724806212,0.03958756819013423,0.020292547753225115,-0.0049020500443545355,-0.0870613884071604,-0.02413951796313752,0.20746889270040625,-0.007180073003148939,0.27202229936335065
당도,0.12083234333280203,0.05654836503656998,0.18318816750741834,-0.24541024587597515,0.30953261794993076,-0.23933084424942497,0.2072342855805186,1.0,-0.4791227980436105,0.1524157577079648,0.24670011164399186,-0.016133910291117933,-0.07344352071923865,-0.029040124831293732,0.0750820325062758,0.29662846548845473,0.13575980104515342,0.12047931375130275,0.2467001116439917,-0.2740991136524338,0.46647624472229293,-0.01274054461126825,0.07243286546356163,0.160566796566488,0.06887330604761827,-0.11178888827406815,-0.09894656340918234,-0.20683310586087172,-0.005819681245624721,-0.08422023454246476,-0.028549096865905933,-0.10497130953317838,-0.026529176526751307
산도,-0.0489319949842548,-0.10030525792843872,-0.0965896674985023,0.2895840260442129,-0.32230977654262566,0.3213576068278339,-0.04109283490787324,-0.4791227980436105,1.0,-0.28269348133672095,-0.53468060961925,0.06353020636268654,0.15981574061511,-0.012545379503092004,-0.28797612520797633,-0.23045304024004107,-0.04932440352953102,-0.10874572018776915,-0.5346806096192498,0.02750045035689997,-0.4831733899999307,-0.18101770093723368,-0.13772189494175702,-0.3793666716687834,-0.32308273049982794,0.10092201101827902,0.10321879512823554,0.1247966902726672,0.11085423811747874,0.16571972342494493,-0.05161633724890672,0.18482524969169414,-0.0554106352894779
tmean_mean,0.16544909757518764,0.24321926192073837,0.1426356356943364,0.21890337864868678,-0.2584277278689548,0.08056267258604792,0.05378407679005142,0.1524157577079648,-0.28269348133672095,1.0,0.772061063447273,0.555592519806357,0.061785073852205184,-0.05916686536692549,0.8599052690211092,-0.13880057746723104,-0.33815756768586813,0.6409289114502374,0.7720610634472728,0.38336863372597557,0.3035280683522719,0.6929319985921873,0.10279592951805203,0.9089093776698738,0.12754359132868212,-0.0035110197501256025,0.15182859311436456,-0.1662506711049204,0.27216911246003883,0.0677425657899469,-0.2127027528477146,0.11104689027127451,-0.07967655325608175
tmax_max,-0.11013486107001699,0.019601832746117907,-0.09156770895613256,0.12042571492364766,-0.10731691597622474,0.007259519495412,0.14363722008108828,0.24670011164399186,-0.53468060961925,0.772061063447273,1.0,0.08839957191517533,-0.13278271022606764,0.21435074639763976,0.6984807509857116,0.18405552311496767,-0.017223888949418984,0.374459759904041,1.0,0.3764594518954844,0.5050236397815796,0.5540412020502726,0.287284365684408,0.9067554354092816,0.5212037103341469,-0.07692196134571178,-0.027714965212690856,-0.19644658403650153,0.04511716523777857,-0.13451806763075225,0.03502800553937365,-0.11618783021809005,0.14479064139302986
tmin_min,0.4456101287383535,0.404584768639097,0.3695174692584253,0.23953265929479373,-0.3935697129018336,0.27190210260972025,-0.12292613831594222,-0.016133910291117933,0.06353020636268654,0.555592519806357,0.08839957191517533,1.0,0.4749766168115331,-0.6113752630798512,0.6683224590379298,-0.6656117845073071,-0.7197355868355589,0.1623656211058454,0.08839957191517535,0.3925534357234012,-0.29007200881405076,0.26472526697334303,0.3468509780713956,0.2564737015785355,-0.08327379865675202,0.3457997832609952,0.5484057194313904,0.12767651446537068,0.5000707139767973,0.5238392898472668,-0.20336060798105854,0.509849217454662,-0.022914694030671617
prcp_sum,0.1052086694805628,0.06715297931875701,0.10025229407985406,0.2999685892315937,-0.3564200682897748,0.34525270719641177,-0.002565967326259202,-0.07344352071923865,0.15981574061511,0.061785073852205184,-0.13278271022606764,0.4749766168115331,1.0,-0.43880932783778837,0.08828645073636535,-0.445253621423295,-0.4020038670425615,-0.23212898713520816,-0.13278271022606764,0.23767285387487475,-0.33505516927383355,0.153499059418326,0.5428658654186519,-0.01902645565608306,0.21974686641890395,0.938225109392833,0.929244438642004,0.365206962555187,0.6907712693586383,0.9812173452450326,0.32169262444507957,0.9844006971899133,0.5818953235141866
rad_mean,-0.36994470324339157,-0.33743567234334704,-0.3424136888220313,0.07809386111212592,0.1280026568991152,-0.06544408934430058,0.1620199859917011,-0.029040124831293732,-0.012545379503092004,-0.05916686536692549,0.21435074639763976,-0.6113752630798512,-0.43880932783778837,1.0,-0.15149675987313557,0.45543370891476,0.45212412799185864,0.11484053034078848,0.2143507463976398,-0.09846415834131973,0.2751640943226385,-0.028040545323832676,-0.14478772787974684,0.16189556976490743,0.14688923922666186,-0.3033762945493822,-0.40063222189308256,0.0431406958226207,-0.4579108472965442,-0.47622844517725116,0.3681274250500224,-0.42968668342770133,0.051716883010693424
BIO1,0.23615439643537828,0.3276963412739896,0.20135028404449132,0.18637176286402296,-0.24538273152548942,0.11707625202651914,0.06771923412479842,0.0750820325062758,-0.28797612520797633,0.8599052690211092,0.6984807509857116,0.6683224590379298,0.08828645073636535,-0.15149675987313557,1.0,-0.34216140726683175,-0.4699743051762865,0.31008796831575736,0.6984807509857116,0.5916149259178379,0.04655040240776943,0.4866162994699309,0.3015603678113947,0.766060433818386,0.33524834839791745,0.07939975631307249,0.23015047386567458,0.060916122221836164,0.13097540365384677,0.10316429068640093,-0.022057493070874498,0.12075039912853561,0.033803741968223326
BIO2,-0.35696459241382084,-0.4570059239060612,-0.2804879621746943,-0.2099045939576557,0.2796390196586962,-0.2583590275390153,0.1671047768541687,0.29662846548845473,-0.23045304024004107,-0.13880057746723104,0.18405552311496767,-0.6656117845073071,-0.445253621423295,0.45543370891476,-0.34216140726683175,1.0,0.9298230194196409,0.009321021485020353,0.18405552311496776,-0.5868521560663512,0.7042425430727817,-0.06472501501945067,-0.11434280082533076,-0.03503760833616874,0.021191459370152266,-0.4957431801870076,-0.6142577260884046,-0.41197720621437744,-0.29655826562386844,-0.4924980871364454,-0.1817875565718531,-0.4933580913796586,-0.13295809996220018
