,과중,종경,횡경,L,a,b,경도,당도,산도,tmean_mean,tmax_max,tmin_min,prcp_sum,rad_mean,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
과중,1.0,0.8482068457362334,0.9399858890118663,-0.11512622218478342,0.24814099688096883,-0.14408345805087816,-0.38963332539183837,0.1379907793520973,-0.029972119126677525,0.1721288389306728,0.10965179731908739,0.15969518940368074,0.07670847985328183,-0.1961018376482327,0.10987994751041333,-0.12143036151508846,-0.15407728756715,0.05827988769692401,0.10965179731908742,0.09145157882396587,0.008862792306027326,0.18396094797878046,0.02350013989260725,0.139710096249676,0.08607206185761929,0.08584971314248048,0.04503972131100828,-0.1450089012192112,-0.0005458440438838398,0.058144594429260045,-0.09174681392696354,0.04984278462211483,-0.052765149281728124
종경,0.8482068457362334,1.0,0.7409492079103225,-0.030996450212792796,0.18252421052608278,-0.04200504610767414,-0.3163659211497658,0.09377986465968526,-0.07616847606877433,0.2617016982061771,0.149101041907465,0.267912161753494,0.11076583059178054,-0.20561264716776317,0.22585815415829602,-0.2498097292344545,-0.2669800745070859,0.09504437579377584,0.1491010419074651,0.22962459072151883,-0.0854891209605685,0.2534110857890304,0.02196798618020624,0.22104250584654475,0.11944599305436558,0.1279701467455364,0.1205164982926033,-0.0698470546399321,0.002095606823444797,0.08030483198531166,-0.012755031571059255,0.08894537103243702,0.001976871258359999
횡경,0.9399858890118663,0.7409492079103225,1.0,-0.1632475234000363,0.25757590918802864,-0.1996898162954751,-0.4130580260323584,0.13069069782495107,0.006053001641533915,0.10428524272692412,0.06684977339587458,0.06609571248430297,0.04458488488637969,-0.16030473419749167,0.04695300098176781,-0.04464723088166499,-0.07793050847909125,0.04612765691325887,0.0668497733958746,0.012078075714353834,0.045871528098174685,0.11220659727229539,0.030648693474805075,0.08144749426785007,0.036494261195833065,0.04032035929660662,0.004768291751321087,-0.1675036273546131,0.02886805685018761,0.04198067342126685,-0.13192967385907542,0.028472502834276773,-0.07914536440301105
L,-0.11512622218478342,-0.030996450212792796,-0.1632475234000363,1.0,-0.7410783270749334,0.8879228686122073,0.2071019412781083,-0.14686448779425101,-0.3230709969035333,0.46618540894936816,0.4302450591072131,0.46567939512308465,-0.1387885661424791,0.19563333656887313,0.3301799247219182,-0.04419139926407308,-0.0843621306418031,0.2012728266177746,0.4302450591072132,0.32329042209174563,0.06770682186223542,0.20897649525150944,0.05201920931889887,0.4210377969621605,0.2674527437856291,-0.09657039199930455,-0.07737878813607305,0.03219522989687148,-0.21054428806411762,-0.2221440244293362,0.25524564918553266,-0.18733296736355357,0.11531285554125738
a,0.24814099688096883,0.18252421052608278,0.25757590918802864,-0.7410783270749334,1.0,-0.6575214772591054,-0.2365644230903522,0.3718206050152365,0.14386696365387033,0.003171657562899121,0.05168949202580608,-0.14049320708332078,0.11124087798597168,-0.1853272588048077,-0.04259823426746227,0.07597736476282338,-0.014772957058976794,0.12668383583304732,0.05168949202580606,-0.19243580282589107,0.22242514627552226,0.1264426913607365,-0.00905451496874143,0.0657921717598973,-0.10260543402895786,0.08257818213946759,0.09032306563755338,-0.08829649517461102,0.23611905232244462,0.1519210243572917,-0.1818302569021121,0.13375662193903334,-0.04360244295865967
b,-0.14408345805087816,-0.04200504610767414,-0.1996898162954751,0.8879228686122073,-0.6575214772591054,1.0,0.2931585159036165,0.022418795197715956,-0.2980312788350586,0.41076603478098467,0.43120895221253214,0.4161452702009772,-0.16931954227836366,0.28966721740558926,0.2562262015284305,0.018910614820323822,0.0008493142878572817,0.1428416881980124,0.43120895221253225,0.3382146612132546,0.05470139480520587,0.12687826287504295,0.10527262914744223,0.39837378180010746,0.32797822761822887,-0.10357559148178375,-0.07857304118140077,0.11739411446518884,-0.23683766632480266,-0.26256085833148246,0.3724942724211821,-0.22010726345848744,0.24876103702001234
경도,-0.38963332539183837,-0.3163659211497658,-0.4130580260323584,0.2071019412781083,-0.2365644230903522,0.2931585159036165,1.0,0.16823282788793256,0.09106113715365009,0.01875165172784317,-0.008305947251244875,-0.0746469112520084,0.11164727944939525,0.35347424154273044,-0.05808022640148501,-0.026166552671171076,-0.018535653904372843,0.0953676465094844,-0.008305947251244826,0.029410316806968807,-0.03434032826673023,0.008068463822458615,0.02512589059258076,0.09241743098271525,0.0017316735467742795,0.16467915085678297,0.19620036895227883,0.24384480303087425,0.08034721570287594,0.10698076675430943,0.3651357898421288,0.15948932377796962,0.28354257469433
당도,0.1379907793520973,0.09377986465968526,0.13069069782495107,-0.14686448779425101,0.3718206050152365,0.022418795197715956,0.16823282788793256,1.0,0.3175781199546228,0.05114609426646687,0.110115565480618,-0.08052563174167485,0.014757960197720174,0.18799125692334143,-0.12617331461989703,0.20320017421977113,0.15268067623464718,0.06614291891903992,0.11011556548061802,-0.1185236209425024,0.20381325168489864,0.04337761166406824,0.0800490910967764,0.11317658870700167,0.0985527278503663,0.04160642288375538,0.043329504771094436,-0.0017175055961224676,0.05526040656108551,-0.006921901213386224,0.1687545844579258,0.017496996311299626,0.17449031639004312
산도,-0.029972119126677525,-0.07616847606877433,0.006053001641533915,-0.3230709969035333,0.14386696365387033,-0.2980312788350586,0.09106113715365009,0.3175781199546228,1.0,-0.34673498635395483,-0.35828259786317,-0.33815127066134104,0.1498225402433845,-0.04956817545756609,-0.3122830210879071,-0.0022585647954597066,0.06166604979408679,-0.18938479699822935,-0.35828259786317007,-0.18717345143344524,-0.13240059219703598,-0.08352957984158448,0.04622100435733341,-0.3292782993217564,-0.1304591827882117,0.12021895920544665,0.1163604670693712,-0.038200679439372644,0.21033989753021062,0.19583743624862224,-0.10036536708072741,0.1976422289201362,-0.002527411288143267
tmean_mean,0.1721288389306728,0.2617016982061771,0.10428524272692412,0.46618540894936816,0.003171657562899121,0.41076603478098467,0.01875165172784317,0.05114609426646687,-0.34673498635395483,1.0,0.8715510423584588,0.6495626264332371,0.019281441220972275,-0.018682779436392065,0.8266248425376884,-0.09897967405894215,-0.27662231195741493,0.5733636838090629,0.871551042358459,0.44774017375651814,0.3222033422487021,0.6591155226441943,0.11349897151051237,0.9658727050744581,0.3215752321189036,0.02320683057425267,0.10145381153765805,-0.047970971108726605,0.06228207206798409,-0.03747928104824207,0.04365480019309708,0.0127554364947115,0.05917987463898807
