,과중,종경,횡경,L,a,b,경도,당도,산도,tmean_mean,tmax_max,tmin_min,prcp_sum,rad_mean,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
과중,1.0,0.8242262389918886,0.9388167429211975,-0.1312959385787531,0.1257884859807111,-0.12767537804582962,-0.19970256513754253,0.1304479045781857,-0.0022109271640885007,0.09297112030997859,-0.006655899138266425,0.24084088143325702,0.10304306639180827,-0.2789053520737157,0.1761879449240907,-0.24409138592501822,-0.28767221502611806,0.1250174763702728,-0.006655899138266509,0.04823243782114699,-0.050500614843397455,0.07764641462552713,-0.08307218520295657,0.0693427207123214,-0.1023837234117665,0.07203250636904376,0.10024876578003067,-0.0326503728109195,0.03270476193087421,0.09694003917439355,-0.11741499674508207,0.08595122427796077,-0.09771316392157015
종경,0.8242262389918886,1.0,0.7518214271833699,0.07377637277089817,0.08991393465396248,0.06883008475647419,-0.13500381328448463,0.05880274786178648,-0.21151554640289236,0.3424545623759585,0.07356502243320454,0.41933918253957175,0.006056515710760216,-0.11527853143278899,0.272508319176112,-0.3461341964955767,-0.3784415284102767,0.16762060822284444,0.07356502243320454,0.20120263885889494,-0.12406303228801645,0.15614834007915843,-0.07229564219190143,0.18164409820929397,-0.03228590678785147,0.09793725828314018,0.14434003008818788,0.005157937184253434,0.022044591332563656,0.08761646354559911,-0.03601670769517227,0.09518702920715721,-0.043833617118916104
횡경,0.9388167429211975,0.7518214271833699,1.0,-0.14763806372060168,0.15842321987558608,-0.1458586444272936,-0.20095267878235534,0.15531322316893997,-0.026251009895646313,0.07886248187269157,-0.017113492383227392,0.1888269135480251,0.0775330323196239,-0.23778186897104114,0.12860018776364252,-0.16773384968764854,-0.218610693500685,0.11218408357885991,-0.017113492383227378,-0.01975483428222148,0.0037280273334592577,0.04267392911181833,-0.07790154452883397,0.041014407487768335,-0.10489288535606532,0.05549149336855983,0.0684776008215649,-0.03652864600066267,0.021212779160096448,0.08038787709036495,-0.1168828994428008,0.06596830606635595,-0.09698694550357288
L,-0.1312959385787531,0.07377637277089817,-0.14763806372060168,1.0,-0.6738219425427261,0.9047793703901853,0.0884169080520756,-0.18571029186416996,-0.3207408680503225,0.5793367554753279,0.20835384714617086,0.5456109292483633,-0.09350006654418949,0.37822115810601453,0.20315795319977656,-0.10043081729690491,-0.12275756436128989,0.15309773634793136,0.20835384714617086,0.20017949098335447,-0.007915887597909182,0.1867674667225957,0.12571869881570497,0.25838239858274686,0.0960942575338841,0.0896981649092419,0.14848165893480575,0.07348258941944098,0.10425820861891888,0.06867669764339725,0.15693909146182686,0.09736281157014577,0.16437670084657563
a,0.1257884859807111,0.08991393465396248,0.15842321987558608,-0.6738219425427261,1.0,-0.667077577196636,-0.05993808672619822,0.3200141699425257,-0.08732049536735445,-0.1508492188261997,-0.04534134016084809,-0.28389881036197373,-0.14890516084994732,-0.012981993500882848,-0.16339361090695323,0.19324098058587943,0.16587101604126028,-0.03213201600026102,-0.04534134016084817,-0.21219246613647508,0.1583947700380909,-0.06930439608239086,-0.16765946134322246,-0.08806930338948311,-0.02185743248463769,-0.15120331212855423,-0.21585280342669458,-0.1249649312028368,-0.1886719558163945,-0.18597631316594923,-0.09253549750983267,-0.19700035489628104,-0.14713770691404146
b,-0.12767537804582962,0.06883008475647419,-0.1458586444272936,0.9047793703901853,-0.667077577196636,1.0,0.11898417715118391,-0.10834852391301476,-0.31038205508257866,0.517545933692182,0.1789501802729937,0.5422848571920323,-0.09686509642721278,0.3519021011723799,0.1544105458326889,-0.09035312723080599,-0.10689931844794702,0.07875240940497322,0.17895018027299375,0.1794382352562942,-0.0137751198716517,0.11320994120967895,0.14208145920458454,0.1938047846069032,0.12806116925114944,0.10399779854530833,0.14323437606991743,0.12509532863947745,0.0468362513509651,0.05890990724532799,0.21804988255890415,0.07746043087154499,0.21740498058402974
경도,-0.19970256513754253,-0.13500381328448463,-0.20095267878235534,0.0884169080520756,-0.05993808672619822,0.11898417715118391,1.0,0.18295686990571133,-0.0027687925690274896,0.04897182668951852,0.07343499850849408,-0.06795266181892802,0.03816291719062762,0.22877135470030155,0.00989338476939184,0.07682483225569525,0.07001887832177414,0.041117228938379095,0.07343499850849408,0.008906219414937841,0.05448616693330357,0.021826267168044856,0.09304203580892532,0.10434432903973348,0.10072728872102787,0.09738398774703123,0.1015022996128856,0.10998411989083418,-0.010220422390115511,0.036568517015178346,0.27946845065456055,0.06980559142245105,0.27698178496440845
당도,0.1304479045781857,0.05880274786178648,0.15531322316893997,-0.18571029186416996,0.3200141699425257,-0.10834852391301476,0.18295686990571133,1.0,-0.011360606810548762,0.04138995926176305,0.17132389364815936,-0.0659161925410637,-0.009156381868309266,0.04854490748088101,-0.034559332947867616,0.2431983848117851,0.14379307510031927,0.08982496426710312,0.1713238936481593,-0.18861842083343094,0.3216641905023578,0.01756752781432646,0.07354125315384306,0.1336236825212381,0.08469517473080823,-0.028551455374680602,-0.022344202352739536,-0.0943582037678655,0.02555067090645582,-0.042870852715034075,0.07845780215294483,-0.039245060360508455,0.08199874006673842
산도,-0.0022109271640885007,-0.21151554640289236,-0.026251009895646313,-0.3207408680503225,-0.08732049536735445,-0.31038205508257866,-0.0027687925690274896,-0.011360606810548762,1.0,-0.571674337867385,-0.36415062299343526,-0.3997734296457774,0.2944665653653164,-0.3090614334909813,-0.24514337884830129,-0.10309900687350365,-0.006189682168855855,-0.1264060368625172,-0.36415062299343515,-0.06808559467557954,-0.2479618688989693,-0.11117979156944999,-0.057066724485796985,-0.2935743296321256,-0.18545297390422374,0.08038398846059784,0.07570261608724806,0.029838641603150102,0.1136007323143218,0.1352955339696129,-0.06954702216366374,0.1414890704162304,-0.04325594047226471
tmean_mean,0.09297112030997859,0.3424545623759585,0.07886248187269157,0.5793367554753279,-0.1508492188261997,0.517545933692182,0.04897182668951852,0.04138995926176305,-0.571674337867385,1.0,0.6193986863803356,0.7405035873499171,-0.1718794848281458,0.30079494218054037,0.6386327669275742,-0.08153236786536525,-0.22240261349557192,0.4713178312003335,0.6193986863803357,0.3125829058107878,0.23649576992738391,0.513734318015175,0.09348231675574724,0.7152908901891968,0.16440754165796242,0.015146365637373189,0.10643715414497593,-0.07234562826180854,0.13457500192403932,0.01933283562670178,-0.05248091112784518,0.05698789028427892,0.010999281111125097
tmax_max,-0.006655899138266425,0.07356502243320454,-0.017113492383227392,0.20835384714617086,-0.04534134016084809,0.1789501802729937,0.07343499850849408,0.17132389364815936,-0.36415062299343526,0.6193986863803356,1.0,0.23008910184356074,-0.10415322868272593,0.13054254856759356,0.6972824193092617,0.17440823709259778,-0.02591848303892817,0.3706650207697652,1.0,0.37238160374442336,0.5048435371447938,0.5541191841513221,0.2823011658613163,0.9042026324311199,0.5136878112361304,-0.07476305678604857,-0.028199155546233874,-0.19530230027063217,0.04430200786926913,-0.132215606204558,0.03177101256560647,-0.11517186310055699,0.13993610214134325
